Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,PowerPlan,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,ElementCount,Mean,Error,StdDev,Median,Gen 0,Gen 1,Gen 2,Allocated
DeserializeISet,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2,"21,030.9 ns","3,649.67 ns","10,412.72 ns","17,650.0 ns",-,-,-,2.84 KB
SerializeISet_ToBytes,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2,542.6 ns,10.85 ns,23.35 ns,536.1 ns,0.3328,-,-,1.36 KB
DeserializeISet,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,50,"9,447.0 ns",188.40 ns,224.27 ns,"9,434.3 ns",1.9073,-,-,7.85 KB
SerializeISet_ToBytes,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,50,"4,475.9 ns",86.77 ns,72.46 ns,"4,493.8 ns",0.6943,-,-,2.85 KB
DeserializeISet,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,"18,215.9 ns",70.56 ns,62.55 ns,"18,209.3 ns",3.3264,-,-,13.7 KB
SerializeISet_ToBytes,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,"8,535.8 ns",70.04 ns,65.51 ns,"8,553.2 ns",1.1902,-,-,4.9 KB
