Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,PowerPlan,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,ElementCount,Mean,Error,StdDev,Gen 0,Gen 1,Gen 2,Allocated
DeserializeISet,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2,"18,856.7 ns","3,210.837 ns","9,315.219 ns",-,-,-,2.84 KB
SerializeISet_ToBytes,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2,506.5 ns,9.487 ns,8.874 ns,0.3328,-,-,1.36 KB
DeserializeISet,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,"16,909.4 ns",69.621 ns,58.137 ns,3.3264,-,-,13.7 KB
SerializeISet_ToBytes,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,"8,577.5 ns",171.278 ns,442.123 ns,1.1902,-,-,4.9 KB
