Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,PowerPlan,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,ElementCount,Mean,Error,StdDev,Median,Gen 0,Gen 1,Gen 2,Allocated
DeserializeISet,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2,"2,070.0 ns",40.97 ns,103.54 ns,"2,030.6 ns",0.2766,-,-,1160 B
SerializeISet_ToBytes,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2,524.7 ns,10.32 ns,17.52 ns,522.7 ns,0.0591,-,-,248 B
DeserializeISet,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,"22,749.1 ns",595.47 ns,"1,718.07 ns","22,233.8 ns",3.6621,0.0305,-,15353 B
SerializeISet_ToBytes,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,CoreRun,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100,"12,471.0 ns",274.36 ns,787.19 ns,"12,340.2 ns",0.5188,-,-,2192 B
